step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,33,316.0,2.0927152317880795,8.00972364527089,2,8.0,0.5852490623183281,1,4.0,0.8122381587989809,0,0.0,0.35590550403242865,0,0.0,0.8472602808046158,3,15.0,0.4194030279741528,4,17.0,0.5652899300580818,0,2.0,0.7860515682020602,0,0.0,0.7032081339335989,1,3.0,0.5035902586689278,0,0.0,0.8642441121524056,10,139.0,0.24331699714894567,5,119.0,0.533963443626171,0,2.0,0.5075441210313328,6,23.0,0.28696904933709977,1,2.0,0.7029362614386339,0,4.0,0.8367843794148744,33,338.0
60.0,40,332.0,2.1012658227848102,7.380753993472757,4,20.0,0.5193366052835492,3,11.0,0.5756615613927301,3,10.0,0.23187882849558117,0,4.0,0.7984854571323688,5,40.0,0.34260641587635016,4,37.0,0.5231493914560825,0,0.0,0.35043156948498677,0,0.0,0.9238363895248074,1,5.0,0.8598426778326393,2,4.0,0.5975931080714082,12,197.0,0.34928268555137754,2,80.0,0.29910668934045803,0,8.0,0.7659249261959714,1,27.0,0.3496066811586036,3,8.0,0.42524410139629043,0,4.0,0.9221516619512529,40,455.0
65.0,43,473.0,2.718390804597701,7.521997328717165,2,18.0,0.490037548897619,0,10.0,0.4802484982175509,0,6.0,0.6877899932480124,0,4.0,0.7834030813202655,7,69.0,0.5011066521399136,4,57.0,0.16659240374454906,0,5.0,0.2896258573251683,0,0.0,0.7966220737435065,1,10.0,0.8367101223210253,5,22.0,0.41577783384807004,13,261.0,0.33629216676649976,6,33.0,0.06390078733068857,0,8.0,0.9187994772379972,0,2.0,0.7723456340285259,5,29.0,0.3730260922461514,0,0.0,0.8212844884957287,43,534.0
70.0,51,676.0,3.595744680851064,7.798987617766373,3,17.0,0.6437030947264335,1,9.0,0.8090500630426024,0,0.0,0.9145548062399583,0,4.0,0.6842122931698114,9,109.0,0.5088760819286663,4,77.0,0.0,0,4.0,0.9236822791445181,2,7.0,0.2938063030415989,3,18.0,0.6505429077007429,5,47.0,0.4249087946295486,15,330.0,0.19651822270635602,1,35.0,0.5158313994468732,0,4.0,0.8470026782771602,0,0.0,0.926667425205728,8,64.0,0.39778790713966494,0,4.0,0.2940917651290928,51,729.0
75.0,56,763.0,3.9329896907216493,7.106996160198221,2,12.0,0.525924452650954,0,0.0,0.8539822510170816,0,0.0,0.7071570775936097,1,5.0,0.4926543420398441,11,157.0,0.3546549950912154,0,43.0,0.19658692781570597,0,4.0,0.7964736974451817,7,34.0,0.0012228466821179974,6,38.0,0.3765825850197648,0,33.0,0.5483199297625537,17,416.0,0.11130414445879694,0,8.0,0.7971287704259968,1,6.0,0.4764023477276025,0,0.0,0.927065968370813,10,109.0,0.4138493771935499,1,8.0,0.7790010415912066,56,873.0
80.0,58,700.0,3.4482758620689653,7.00676339794147,4,22.0,0.6109883115729099,3,7.0,0.57429363503349,4,15.0,0.561972981493692,0,4.0,0.3151316922085888,13,215.0,0.27874456754661,0,0.0,1.0,1,8.0,0.463500536365252,1,40.0,0.23379196992314774,0,28.0,0.6705258653667192,2,7.0,0.5580771019529497,13,400.0,0.28668346071899153,0,0.0,0.8087327909239252,5,25.0,0.41341040705956505,0,0.0,0.9824673771035406,11,161.0,0.3191631904519808,1,13.0,0.8505533041942018,58,945.0
85.0,51,691.0,3.354368932038835,7.681209430394834,6,45.0,0.5316126933025743,1,7.0,0.47780589091312464,5,40.0,0.3507568569651144,0,0.0,0.5578417869090544,14,283.0,0.3415596280760227,0,0.0,0.961590291226396,0,10.0,0.7965780833347996,0,10.0,0.8366506751482818,1,7.0,0.7073005787537443,0,5.0,0.7443178651513285,5,281.0,0.43480104023766547,0,6.0,0.7560383262614997,5,50.0,0.34458577256349554,0,4.0,0.4699139709686941,13,222.0,0.1539297496777381,1,14.0,0.7921546793409625,51,984.0
90.0,48,752.0,3.650485436893204,6.879253588854108,2,36.0,0.4639123130122128,2,16.0,0.5691565432466782,0,30.0,0.5483270029040245,1,6.0,0.29222386049664684,17,359.0,0.26694273183358214,0,0.0,0.9333429627475492,2,8.0,0.5747007612259564,1,7.0,0.7936340885097765,0,2.0,0.6738883250377352,0,4.0,0.8703740299986904,3,295.0,0.3117568370704196,0,6.0,0.8653166047878357,5,79.0,0.12729342908589555,0,4.0,0.9010860424255227,15,294.0,0.14687997960175836,0,0.0,0.4006726832896049,48,1146.0
95.0,75,1054.0,4.902325581395349,6.523859183166277,3,13.0,0.5753395728411282,2,6.0,0.6899439376166535,1,7.0,0.7035748707780477,6,28.0,0.34568933405043495,18,446.0,0.12094337972272179,0,0.0,0.8976578426064016,4,26.0,0.385966061580267,1,8.0,0.7053572444456351,3,13.0,0.4829493873324404,2,8.0,0.4594015821684083,8,323.0,0.19527391614697426,0,4.0,0.8859975362715385,5,104.0,0.5752765501158975,0,4.0,0.9392449192255948,17,375.0,0.2807158557992414,5,17.0,0.0730762127153618,75,1382.0
100.0,89,1153.0,5.170403587443946,6.02141646463504,2,6.0,0.5975210932791619,3,17.0,0.7385864154311306,0,2.0,0.5484873549725071,8,67.0,0.3447972680366955,15,435.0,0.15898311152225658,0,8.0,0.4477037438404645,4,48.0,0.16866547634813558,1,13.0,0.0,4,32.0,0.617165045712673,7,31.0,0.34348840966677957,15,390.0,0.11564019459259613,2,3.0,0.3756303240614566,5,129.0,0.591438615377075,1,5.0,0.5125667948388173,19,465.0,0.32370857022025995,3,29.0,0.256395589009107,89,1680.0
105.0,73,1057.0,4.739910313901345,6.0773043657112735,4,16.0,0.5776787024784458,1,6.0,0.48559124249162505,0,2.0,0.7691710632791681,2,65.0,0.20253888219962596,7,318.0,0.3082755246270008,0,8.0,0.8447563659785801,0,26.0,0.7289865467976393,0,8.0,0.4638393236199662,1,21.0,0.6827982118129532,2,35.0,0.3758312705682811,22,488.0,0.1851138354227287,2,17.0,0.23039692355572006,6,152.0,0.323412953929,6,25.0,0.24242825183032254,20,562.0,0.20401251592002076,0,10.0,0.6825951381568555,73,1759.0
110.0,74,1219.0,5.393805309734513,6.558368423073378,0,13.0,0.5124034833583406,5,18.0,0.3998642377084541,1,7.0,0.7580229056441569,2,29.0,0.27790689935949237,2,290.0,0.3913530955197431,0,8.0,0.8921559988185379,0,2.0,0.9493804610232706,0,8.0,0.8993620151458351,3,10.0,0.5615418164404327,3,13.0,0.6396978831576068,23,599.0,0.22249225187267554,0,4.0,0.8828119038865462,9,199.0,0.0815357056867887,3,30.0,0.10607413137727456,23,669.0,0.08722778359464896,0,0.0,0.8231691837786252,74,1899.0
115.0,84,1553.0,6.497907949790795,6.521290058086055,3,11.0,0.6229634919319981,6,48.0,0.5613855779224814,0,0.0,0.7087375934675095,1,23.0,0.6867976492627293,9,318.0,0.37161126800190586,2,6.0,0.5312961798040595,0,0.0,0.7876995884761551,0,6.0,0.9188489259605184,1,7.0,0.5508991235310912,1,14.0,0.7238227139670727,26,719.0,0.11172027896850484,0,4.0,0.8839416814162724,9,246.0,0.2039975109823217,0,11.0,0.4497270739245023,25,788.0,0.17028461589698166,1,2.0,0.07189515633690435,84,2203.0
120.0,98,1930.0,8.041666666666666,5.611896747312526,1,11.0,0.5556276986064773,1,44.0,0.613436884693655,4,10.0,0.10027170917783955,1,23.0,0.8329867774471208,13,372.0,0.1486850489731323,7,29.0,0.18449327386794115,0,0.0,1.0,1,3.0,0.47363631134556183,1,10.0,0.6240510610358231,2,16.0,0.46478823132993496,27,854.0,0.03691159120541465,0,0.0,0.7418822574483439,9,293.0,0.2901562078826498,0,4.0,0.9039308571196064,26,916.0,0.19558024328787274,5,20.0,0.2615628390391104,98,2605.0
125.0,109,2019.0,8.076,5.436000233256026,3,12.0,0.647164881185568,3,14.0,0.5228191099841145,1,17.0,0.12709198844594308,0,4.0,0.6544498916609649,20,460.0,0.06727621094111484,7,68.0,0.1150722495096096,0,2.0,0.5379344989761149,4,23.0,0.23416813898188937,2,8.0,0.7588751959600085,7,45.0,0.32704503262839185,29,995.0,0.15739317918306409,0,0.0,1.0,11,345.0,0.28122833454938706,0,4.0,0.9538807376580929,22,908.0,0.12246915476218438,0,23.0,0.6418106547727261,109,2928.0
130.0,102,1923.0,7.600790513833992,5.7841433376273805,5,30.0,0.5968295290197095,2,10.0,0.34711190844021017,0,2.0,0.7447812645110973,0,2.0,0.8011451452025572,23,570.0,0.08429377146379577,1,61.0,0.48766247524059,0,6.0,0.8215318659069,4,43.0,0.5654590547990326,3,19.0,0.6963390761035619,3,49.0,0.44779974775266,31,1145.0,0.1779359106790233,0,4.0,0.4160158500873008,11,396.0,0.18378787181752498,0,0.0,0.9345833399749516,19,708.0,0.10273703649122726,0,4.0,0.8619877094852446,102,3049.0
135.0,88,1637.0,6.681632653061224,5.909813361528492,6,57.0,0.5066768407190236,7,31.0,0.32182919694652967,0,0.0,0.9477207047333018,1,5.0,0.8083927570263681,19,567.0,0.08975848275945443,0,19.0,0.7761830902860177,0,8.0,0.8589353944839208,4,63.0,0.6579497631428022,0,6.0,0.5357869434449659,3,26.0,0.5325651314569254,32,1302.0,0.16817265625272257,0,4.0,0.828301325546197,5,324.0,0.12438221767020073,0,4.0,0.6881676949674224,11,768.0,0.19368277250542487,0,4.0,0.8291671133136086,88,3188.0
140.0,75,1475.0,5.694980694980695,6.248343160898341,2,45.0,0.47419247465436176,3,40.0,0.39672808461798215,0,0.0,0.6279138447046898,0,0.0,0.5017840450002612,11,442.0,0.3059654363556999,0,4.0,0.811837770840425,0,4.0,0.8657881171376925,4,81.0,0.5203956066528661,5,15.0,0.424150455944956,2,24.0,0.4694381697238335,34,1467.0,0.09580613207498972,0,4.0,0.945319396154996,2,111.0,0.5834061693388601,0,8.0,0.7386438357823494,10,799.0,0.2639316571407232,2,6.0,0.32272477867487465,75,3050.0
145.0,89,1701.0,6.3,6.386683301043168,2,10.0,0.5918084069522256,3,17.0,0.6238066156538716,0,6.0,0.49491556212601157,5,14.0,0.2435705713550578,7,443.0,0.35212872940687273,0,4.0,0.8603220968133668,3,10.0,0.241038022967787,4,101.0,0.1754442772069179,5,42.0,0.5919271320225558,5,35.0,0.4401246734990251,36,1644.0,0.02698216410518912,0,0.0,0.8744248471378715,3,88.0,0.612019642764486,0,8.0,0.8764656064617236,15,861.0,0.270370982260207,1,10.0,0.5069117370966125,89,3293.0
150.0,83,1503.0,5.525735294117647,5.944538829462457,4,20.0,0.5302170234039605,0,11.0,0.7067403710986486,0,8.0,0.8829315863031209,1,22.0,0.10253277508678486,8,475.0,0.258230241094156,2,6.0,0.25173796118486713,7,39.0,0.3268404561035488,0,60.0,0.297471164200848,5,67.0,0.5953271031903707,5,60.0,0.4174296346401334,30,1629.0,0.016719947069819812,0,8.0,0.45543955745096387,4,104.0,0.5228615710075675,2,10.0,0.5787704231588515,15,797.0,0.16916284694235162,0,4.0,0.7813521947806628,83,3320.0
