step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,10.7353080215704,0,0.0,0.9162480174040186,0,0.0
20.0,0,0.0,0.0,11.547969305536725,0,0.0,0.9783879960404535,0,0.0
25.0,0,0.0,0.0,11.676564079998542,0,0.0,0.9890276824958901,0,0.0
30.0,0,0.0,0.0,11.74213106126867,0,0.0,0.9483769868301639,0,0.0
35.0,0,0.0,0.0,11.843050396947662,0,0.0,0.9514010438671742,0,0.0
40.0,0,0.0,0.0,12.216920166648377,0,0.0,0.9564084342221152,0,0.0
45.0,0,0.0,0.0,12.298476183649562,0,0.0,0.953625665015315,0,0.0
50.0,0,0.0,0.0,12.635374495248923,0,0.0,0.9789789140867703,0,0.0
55.0,0,0.0,0.0,12.30555904568871,0,0.0,0.930491680360479,0,0.0
60.0,0,0.0,0.0,12.710579421459416,0,0.0,0.9456594141512863,0,0.0
65.0,0,0.0,0.0,13.017693695658517,0,0.0,0.9581440613603506,0,0.0
70.0,0,0.0,0.0,13.324409499010102,0,0.0,0.978924385456893,0,0.0
75.0,0,0.0,0.0,13.209878729350692,0,0.0,0.9745898098546586,0,0.0
80.0,0,0.0,0.0,13.336296807093273,0,0.0,0.9816750271679419,0,0.0
85.0,0,0.0,0.0,12.993432052651881,0,0.0,0.9480291909513541,0,0.0
90.0,0,0.0,0.0,12.999506620313943,0,0.0,0.9380721467262115,0,0.0
95.0,1,3.0,0.15,11.99958843925921,1,3.0,0.8422288982362254,1,3.0
100.0,0,0.0,0.0,11.85354127185706,0,10.0,0.8363488730726291,0,10.0
105.0,0,0.0,0.0,12.531857543458266,0,0.0,0.9558599497933568,0,0.0
110.0,0,0.0,0.0,13.060276056492507,0,0.0,0.9583918505379032,0,0.0
115.0,2,4.0,0.13793103448275862,12.166212122786728,2,4.0,0.8853202615804999,2,4.0
120.0,1,7.0,0.23333333333333334,12.361144557115079,1,13.0,0.883332698608998,1,13.0
125.0,2,15.0,0.4411764705882353,12.217218698020961,2,15.0,0.8800597713724279,2,15.0
130.0,2,18.0,0.5294117647058824,12.071138813762955,2,25.0,0.8483393912993321,2,25.0
135.0,3,29.0,0.7837837837837838,12.013491955803525,3,29.0,0.851266089448122,3,29.0
140.0,2,38.0,0.95,11.99066462048366,2,43.0,0.8289552375420306,2,43.0
145.0,3,51.0,1.2439024390243902,12.17140808323042,3,51.0,0.858432026096457,3,51.0
150.0,4,67.0,1.5227272727272727,11.593864805905264,4,67.0,0.8256141818978123,4,67.0
155.0,7,94.0,2.088888888888889,11.01904313237905,7,94.0,0.7518862096475396,7,94.0
160.0,7,108.0,2.25,9.732516357518096,7,133.0,0.6552158359548266,7,133.0
165.0,6,132.0,2.490566037735849,10.502286352325228,6,132.0,0.785063584083709,6,132.0
170.0,5,151.0,2.7454545454545456,11.174455246062047,5,161.0,0.8046702913516024,5,161.0
175.0,5,176.0,3.0344827586206895,11.705462442646459,5,176.0,0.8247405061654421,5,176.0
180.0,6,204.0,3.1875,11.686995641413933,6,204.0,0.8024313485328876,6,204.0
185.0,8,239.0,3.5671641791044775,11.76378793256722,8,239.0,0.799469476271622,8,239.0
190.0,8,279.0,3.9857142857142858,11.534755874376733,8,279.0,0.7672864980270997,8,279.0
195.0,11,333.0,4.381578947368421,11.626635569719305,11,333.0,0.7766141995409515,11,333.0
200.0,12,390.0,5.0,11.471624554340773,12,390.0,0.7624750571085012,12,390.0
205.0,14,458.0,5.7974683544303796,11.299207295634366,14,458.0,0.7442901788355623,14,458.0
210.0,15,532.0,6.65,11.062200335318584,15,532.0,0.7228559899198673,15,532.0
215.0,16,610.0,7.011494252873563,10.997016255044757,16,610.0,0.714322952603699,16,610.0
220.0,17,691.0,7.43010752688172,11.090440062024106,17,691.0,0.7219906069947246,17,691.0
225.0,18,777.0,8.35483870967742,10.679797712495372,18,777.0,0.6881138428374477,18,777.0
230.0,20,877.0,8.948979591836734,10.723976585616736,20,877.0,0.6897413203391201,20,877.0
235.0,21,978.0,9.588235294117647,10.715724475923679,21,978.0,0.6861781077314139,21,978.0
240.0,22,1086.0,10.245283018867925,10.760135449515523,22,1086.0,0.6809985435432231,22,1086.0
245.0,23,1200.0,11.214953271028037,10.650593596904667,23,1200.0,0.6570714219037835,23,1200.0
250.0,27,1328.0,11.752212389380531,10.399668049555627,27,1328.0,0.6351331281123009,27,1328.0
255.0,28,1467.0,12.982300884955752,10.420071169659153,28,1467.0,0.6441908045131196,28,1467.0
260.0,28,1607.0,13.504201680672269,10.560237816490291,28,1607.0,0.655566721532199,28,1607.0
265.0,30,1750.0,14.227642276422765,10.315366549274598,30,1750.0,0.6319706279516875,30,1750.0
270.0,33,1907.0,15.379032258064516,9.99505606328521,33,1907.0,0.6014528715248547,33,1907.0
275.0,34,2074.0,15.953846153846154,9.906856577684685,34,2074.0,0.6052805015871332,34,2074.0
280.0,39,2257.0,17.361538461538462,9.33645241344098,39,2257.0,0.5478671194680096,39,2257.0
285.0,44,2468.0,18.417910447761194,9.066045386700809,44,2468.0,0.5365949401316132,44,2468.0
290.0,47,2695.0,19.25,8.973817710918018,47,2695.0,0.5439592942548054,47,2695.0
