step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.979113559355028,0,0.0,0.9015768679881351,0,0.0
20.0,0,0.0,0.0,13.1606806449899,0,0.0,0.9811403549271445,0,0.0
25.0,0,0.0,0.0,12.98572276354111,0,0.0,0.9685690312089733,0,0.0
30.0,0,0.0,0.0,12.916534813909763,0,0.0,0.922244918141899,0,0.0
35.0,0,0.0,0.0,13.340125456124836,0,0.0,0.9596385740146265,0,0.0
40.0,0,0.0,0.0,13.460487467679883,0,0.0,0.9656832224560394,0,0.0
45.0,0,0.0,0.0,13.529212724768476,0,0.0,0.9688305378715456,0,0.0
50.0,0,0.0,0.0,13.736447438144745,0,0.0,0.9842518901801816,0,0.0
55.0,0,0.0,0.0,13.11287298336765,0,0.0,0.9360754727882408,0,0.0
60.0,0,0.0,0.0,13.311819997317059,0,0.0,0.9394810309353719,0,0.0
65.0,0,0.0,0.0,12.634632142599166,0,0.0,0.9001756059581901,0,0.0
70.0,1,4.0,0.3333333333333333,12.529204237294472,1,4.0,0.8925164615625375,1,4.0
75.0,1,9.0,0.6428571428571429,12.529624925199517,1,9.0,0.9041469510619189,1,9.0
80.0,3,17.0,1.2142857142857142,10.76018948602995,3,17.0,0.7751018173031089,3,17.0
85.0,3,32.0,2.0,10.725263332285143,3,32.0,0.7810644059110491,3,32.0
90.0,3,47.0,2.9375,10.497199451142164,3,47.0,0.7657240306782304,3,47.0
95.0,5,68.0,3.5789473684210527,9.510817140244413,5,68.0,0.6992137883907712,5,68.0
100.0,6,94.0,3.9166666666666665,9.625682090561833,6,94.0,0.7034513409144715,6,94.0
105.0,3,80.0,2.962962962962963,10.073705299112435,3,121.0,0.7352647742108916,3,121.0
110.0,3,95.0,3.2758620689655173,9.855661858531356,3,95.0,0.7863751416456128,3,95.0
115.0,3,9.0,0.3103448275862069,9.831955547336088,3,116.0,0.742083343931088,3,116.0
120.0,2,16.0,0.5333333333333333,11.004111116903166,2,16.0,0.8813217842643404,2,16.0
125.0,2,26.0,0.7647058823529411,11.59367465304828,2,26.0,0.8846829354424862,2,26.0
130.0,3,38.0,1.0857142857142856,11.777347372815761,3,38.0,0.8500651573096188,3,38.0
135.0,3,53.0,1.394736842105263,12.373515057804449,3,53.0,0.8657609982168388,3,53.0
140.0,5,71.0,1.7317073170731707,11.790418258113228,5,71.0,0.8021508786832258,5,71.0
145.0,5,96.0,2.2325581395348837,11.715035203281353,5,96.0,0.7958085888957998,5,96.0
150.0,5,87.0,1.851063829787234,11.411390023394762,5,125.0,0.7762011655371491,5,125.0
155.0,9,106.0,2.2083333333333335,10.056956964305646,9,106.0,0.6672060165733934,9,106.0
160.0,12,163.0,2.963636363636364,10.034771371925423,12,163.0,0.6612061328260687,12,163.0
165.0,14,230.0,3.9655172413793105,9.715627228604529,14,230.0,0.6253211333788233,14,230.0
170.0,17,309.0,5.327586206896552,9.404541049004695,17,309.0,0.6221234990313164,17,309.0
175.0,18,397.0,6.508196721311475,9.195088763613226,18,397.0,0.6240974764517865,18,397.0
180.0,19,490.0,7.777777777777778,8.828824470035347,19,490.0,0.6210563317795663,19,490.0
185.0,21,592.0,8.969696969696969,8.83430578750176,21,592.0,0.62531651793028,21,592.0
190.0,26,708.0,9.833333333333334,8.255540997614098,26,708.0,0.5784375479156948,26,708.0
195.0,27,842.0,10.935064935064934,8.506242495162438,27,842.0,0.6023607773132015,27,842.0
200.0,29,982.0,12.275,8.103016062361666,29,982.0,0.5778063943184729,29,982.0
205.0,33,1139.0,14.061728395061728,7.830232032814824,33,1139.0,0.556208610895781,33,1139.0
210.0,33,1304.0,15.523809523809524,7.620278727772335,33,1304.0,0.5371053022118883,33,1304.0
215.0,38,1484.0,16.674157303370787,7.206936275801966,38,1484.0,0.5121232029999203,38,1484.0
220.0,40,1680.0,17.31958762886598,7.197235105345365,40,1680.0,0.5204854988169757,40,1680.0
225.0,43,1894.0,18.752475247524753,7.432851393415105,43,1894.0,0.5341262224797998,43,1894.0
230.0,47,2118.0,19.794392523364486,6.970408395088256,47,2118.0,0.4979482042995291,47,2118.0
235.0,54,2378.0,21.232142857142858,6.575906160778965,54,2378.0,0.47490796192800305,54,2378.0
240.0,61,2663.0,22.3781512605042,6.351148887946405,61,2663.0,0.4555981557225257,61,2663.0
245.0,66,2981.0,24.434426229508198,5.806291450281976,66,2981.0,0.41910478260955225,66,2981.0
250.0,71,3325.0,25.775193798449614,5.791176629066155,71,3325.0,0.4223281052907285,71,3325.0
255.0,72,3685.0,28.129770992366414,5.7355390753545015,72,3685.0,0.41744157856611225,72,3685.0
260.0,76,4056.0,29.391304347826086,5.674771753212683,76,4056.0,0.40656635284159515,76,4056.0
265.0,73,3876.0,27.295774647887324,5.515865661144166,73,4440.0,0.39984523066410343,73,4440.0
270.0,51,2775.0,19.006849315068493,5.576830245047698,51,3745.0,0.4161015968832762,51,3745.0
275.0,40,2795.0,18.26797385620915,6.396462767679196,40,3578.0,0.4594605634189202,40,3578.0
280.0,43,3006.0,19.025316455696203,7.475662339296858,43,3328.0,0.5087880805664262,43,3328.0
285.0,54,3235.0,19.37125748502994,7.463440345506713,54,3545.0,0.45947318594997616,54,3545.0
