step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.846273638890125,0,0.0,0.8453568062060393,0,0.0
20.0,0,0.0,0.0,13.786870559012149,0,0.0,0.9822895169604375,0,0.0
25.0,0,0.0,0.0,13.797998188038454,0,0.0,0.9811630827839364,0,0.0
30.0,0,0.0,0.0,13.07208994166956,0,0.0,0.9757666401670191,0,0.0
35.0,0,0.0,0.0,12.650814714522797,0,0.0,0.932617953337635,0,0.0
40.0,0,0.0,0.0,13.211366031645486,0,0.0,0.9561904314162085,0,0.0
45.0,0,0.0,0.0,13.460019520169212,0,0.0,0.9800935745042446,0,0.0
50.0,0,0.0,0.0,13.508542706136339,0,0.0,0.984165613829623,0,0.0
55.0,0,0.0,0.0,12.94249095597041,0,0.0,0.918733217603529,0,0.0
60.0,0,0.0,0.0,13.460934152343864,0,0.0,0.9691836128734215,0,0.0
65.0,0,0.0,0.0,13.336571580494152,0,0.0,0.9790029385306237,0,0.0
70.0,0,0.0,0.0,13.310018394750173,0,0.0,0.9780298017664038,0,0.0
75.0,1,1.0,0.07142857142857142,12.222786939479795,1,1.0,0.8928230389057626,1,1.0
80.0,1,6.0,0.42857142857142855,12.301400818485643,1,6.0,0.8999538961005311,1,6.0
85.0,1,11.0,0.6875,12.054041998380782,1,11.0,0.8899406052563975,1,11.0
90.0,1,16.0,1.0,10.208654744558704,1,16.0,0.7514735947136906,1,16.0
95.0,4,34.0,1.7,9.913199325326028,4,34.0,0.7183509826368826,4,34.0
100.0,4,54.0,2.25,10.391564387095942,4,54.0,0.7470456637734988,4,54.0
105.0,4,50.0,1.8518518518518519,10.253132943541102,4,76.0,0.7395623745776418,4,76.0
110.0,4,70.0,2.413793103448276,10.467627448218165,4,70.0,0.7900638134053625,4,70.0
115.0,5,94.0,3.2413793103448274,10.74469729101236,5,94.0,0.7916559055814633,5,94.0
120.0,5,119.0,4.103448275862069,10.183059420548583,5,119.0,0.755979782090719,5,119.0
125.0,6,149.0,4.515151515151516,10.170066569964222,6,149.0,0.7389143751811174,6,149.0
130.0,7,182.0,5.352941176470588,10.392163278526855,7,182.0,0.7304933082724878,7,182.0
135.0,7,217.0,5.864864864864865,10.531627296766356,7,217.0,0.728016270253968,7,217.0
140.0,5,102.0,2.55,10.707303262591404,5,253.0,0.752560006871294,5,253.0
145.0,3,35.0,0.8333333333333334,10.497027638074083,3,65.0,0.7956544721595656,3,65.0
150.0,4,50.0,1.0869565217391304,10.344356281284561,4,85.0,0.7614025319788561,4,85.0
155.0,8,83.0,1.7659574468085106,10.205684547932707,8,113.0,0.7231213823639078,8,113.0
160.0,5,96.0,1.8113207547169812,10.46488056134647,5,152.0,0.7164514292742384,5,152.0
165.0,5,109.0,1.912280701754386,11.01750483949931,5,109.0,0.8095699181811309,5,109.0
170.0,6,90.0,1.5254237288135593,11.027045158939867,6,139.0,0.7658751216760334,6,139.0
175.0,5,82.0,1.28125,11.457702559793853,5,91.0,0.8034589285127867,5,91.0
180.0,7,113.0,1.6376811594202898,11.661760695351717,7,113.0,0.7998403258615194,7,113.0
185.0,9,151.0,2.1267605633802815,11.511982817325007,9,151.0,0.769041918429657,9,151.0
190.0,12,204.0,2.6842105263157894,11.283427025080245,12,204.0,0.7477721887473722,12,204.0
195.0,14,270.0,3.3333333333333335,11.083788563822257,14,270.0,0.7349957027731362,14,270.0
200.0,15,342.0,4.170731707317073,10.819471565875647,15,342.0,0.7256998297171675,15,342.0
205.0,18,425.0,5.246913580246914,10.436519785175259,18,425.0,0.6995312816927348,18,425.0
210.0,21,520.0,6.419753086419753,9.803449890582804,21,520.0,0.6499765310835577,21,520.0
215.0,19,427.0,4.908045977011494,9.185104463422027,19,627.0,0.6094043285004056,19,627.0
220.0,18,446.0,4.6947368421052635,9.360553824626338,18,471.0,0.6738789905104074,18,471.0
225.0,25,555.0,5.967741935483871,8.810677790018653,25,580.0,0.6215258055529207,25,580.0
230.0,31,695.0,7.164948453608248,8.341751041223551,31,720.0,0.562034018968531,31,720.0
235.0,36,867.0,8.41747572815534,8.41175347766067,36,893.0,0.5570514276866726,36,893.0
240.0,39,1057.0,9.697247706422019,8.290106608076204,39,1083.0,0.5541246048028142,39,1083.0
245.0,43,1262.0,11.472727272727273,7.92397502684773,43,1288.0,0.5325516020947174,43,1288.0
250.0,47,1487.0,12.709401709401709,7.614037854374679,47,1514.0,0.5087503889378423,47,1514.0
255.0,53,1743.0,14.771186440677965,7.186067954114618,53,1770.0,0.4806822047836666,53,1770.0
260.0,56,2016.0,16.128,7.254705797858332,56,2043.0,0.49330134110878016,56,2043.0
265.0,53,1856.0,14.387596899224807,7.029841125161222,53,2322.0,0.4766332612528951,53,2322.0
270.0,28,856.0,6.388059701492537,7.261059325121284,28,1786.0,0.516489161270374,28,1786.0
275.0,21,821.0,5.822695035460993,7.897621506891402,21,1500.0,0.5608412955848532,21,1500.0
280.0,24,937.0,6.6453900709219855,8.86946257921685,24,1182.0,0.6247333505833169,24,1182.0
285.0,29,1067.0,7.1610738255033555,9.62873886988451,29,1102.0,0.6310025420048008,29,1102.0
290.0,33,1223.0,7.941558441558442,10.07401209221198,33,1249.0,0.6172555458163353,33,1249.0
