step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.704843294399325,0,0.0,0.7916828422860062,0,0.0
20.0,0,0.0,0.0,14.559766170752805,0,0.0,0.9850698301978977,0,0.0
25.0,0,0.0,0.0,14.639721840804082,0,0.0,0.9904431890563927,0,0.0
30.0,0,0.0,0.0,13.745468494411007,0,0.0,0.9332804022602396,0,0.0
35.0,0,0.0,0.0,13.64469448291959,0,0.0,0.9064906544966165,0,0.0
40.0,0,0.0,0.0,13.971163564069277,0,0.0,0.9624727166565183,0,0.0
45.0,0,0.0,0.0,13.876051037124176,0,0.0,0.9821308917555095,0,0.0
50.0,0,0.0,0.0,13.87355774367272,0,0.0,0.9815591357064587,0,0.0
55.0,0,0.0,0.0,13.257256171779403,0,0.0,0.9526774589290959,0,0.0
60.0,0,0.0,0.0,13.263087985405638,0,0.0,0.9492528669157114,0,0.0
65.0,0,0.0,0.0,12.361709328502846,0,0.0,0.8762248400401305,0,0.0
70.0,1,3.0,0.25,12.77488475911531,1,3.0,0.8946743583390989,1,3.0
75.0,1,8.0,0.5714285714285714,12.715237835803029,1,8.0,0.9017287687109815,1,8.0
80.0,1,13.0,0.9285714285714286,12.036988420585667,1,13.0,0.8535216354188192,1,13.0
85.0,2,21.0,1.3125,10.604498523865722,2,22.0,0.7599408547999759,2,22.0
90.0,2,31.0,1.9375,11.123659781659693,2,31.0,0.8332209239161099,2,31.0
95.0,2,41.0,2.05,11.247252378525321,2,41.0,0.8397570504304781,2,41.0
100.0,2,51.0,2.125,11.286040155872897,2,51.0,0.8190086472477615,2,51.0
105.0,3,65.0,2.4074074074074074,11.651693689875561,3,65.0,0.8232162719489884,3,65.0
110.0,4,81.0,2.793103448275862,11.027925002656836,4,83.0,0.7701685291538611,4,83.0
115.0,5,103.0,3.5517241379310347,9.801605759992963,5,103.0,0.7120958283106467,5,103.0
120.0,7,127.0,4.233333333333333,9.663119510095843,7,137.0,0.6804424794804389,7,137.0
125.0,8,163.0,4.9393939393939394,9.713934929087227,8,163.0,0.6963411304809166,8,163.0
130.0,8,203.0,5.970588235294118,10.058539328726228,8,203.0,0.7101663266543891,8,203.0
135.0,4,68.0,1.837837837837838,10.287680241146504,4,239.0,0.7310870346233049,4,239.0
140.0,2,39.0,0.975,11.040137685849832,2,57.0,0.8592320527930755,2,57.0
145.0,4,55.0,1.3414634146341464,11.405682525507762,4,73.0,0.846986968585305,4,73.0
150.0,5,76.0,1.6888888888888889,11.3430734994414,5,94.0,0.8029439372936065,5,94.0
155.0,6,55.0,1.1956521739130435,10.360645503995077,6,122.0,0.7305730815762076,6,122.0
160.0,5,69.0,1.3269230769230769,10.496595049002917,5,87.0,0.7653545524570442,5,87.0
165.0,3,56.0,1.0,10.900075683043095,3,115.0,0.7494156712124733,3,115.0
170.0,5,79.0,1.3389830508474576,11.55579863806402,5,79.0,0.8327359797688441,5,79.0
175.0,4,91.0,1.4444444444444444,11.936526434633807,4,103.0,0.834661841802504,4,103.0
180.0,6,114.0,1.6521739130434783,11.827009274006565,6,114.0,0.8174697385753275,6,114.0
185.0,6,142.0,2.0285714285714285,11.672157496721459,6,148.0,0.8049366027961677,6,148.0
190.0,8,179.0,2.3552631578947367,11.575660671358198,8,179.0,0.7899559572485496,8,179.0
195.0,8,112.0,1.382716049382716,11.618215859049688,8,223.0,0.7848047821625592,8,223.0
200.0,12,158.0,1.975,11.168967351733333,12,158.0,0.7647697126722306,12,158.0
205.0,13,220.0,2.7160493827160495,11.022411759392696,13,220.0,0.7437774374711789,13,220.0
210.0,15,293.0,3.5301204819277108,10.775228363867758,15,293.0,0.7190577454069242,15,293.0
215.0,21,381.0,4.233333333333333,10.017877241310291,21,381.0,0.6393390948784985,21,381.0
220.0,19,417.0,4.483870967741935,9.663454856345524,19,492.0,0.6278281417465201,19,492.0
225.0,13,441.0,4.691489361702128,10.117477451009966,13,449.0,0.7368231433240341,13,449.0
230.0,16,498.0,5.134020618556701,10.094088428549929,16,521.0,0.7034711033631791,16,521.0
235.0,21,595.0,5.833333333333333,9.986574362014919,21,603.0,0.6710573325934934,21,603.0
240.0,22,361.0,3.4056603773584904,9.92419772745915,22,719.0,0.6453104253883992,22,719.0
245.0,14,143.0,1.3240740740740742,9.81213476934649,14,259.0,0.6766527813383582,14,259.0
250.0,25,248.0,2.175438596491228,9.08934558237859,25,364.0,0.5857808715169172,25,364.0
255.0,35,413.0,3.591304347826087,9.364162638672083,35,529.0,0.5856532416778519,35,529.0
260.0,31,521.0,4.341666666666667,9.425615827182007,31,687.0,0.5983747380414847,31,687.0
265.0,29,622.0,4.976,9.26356012336915,29,640.0,0.614749860662862,29,640.0
270.0,34,781.0,6.1015625,9.096021149210792,34,803.0,0.5842392694325879,34,803.0
275.0,42,973.0,7.207407407407407,8.735700275026261,42,991.0,0.5452103662776888,42,991.0
280.0,41,905.0,6.510791366906475,8.512876300218114,41,1209.0,0.5171940513944266,41,1209.0
285.0,18,262.0,1.8581560283687943,8.65335194878132,18,889.0,0.5880597233738764,18,889.0
290.0,23,285.0,1.9791666666666667,8.416798579853895,23,984.0,0.552552358880099,23,984.0
