step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.17651641416246,0,0.0,0.9464411426746213,0,0.0,0.9435659266088714,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9449536122482527,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.94303367061159,0,0.0,0.9397219635184231,0,0.0,0.9479282123076982,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.944387708696951,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.24223531912481,0,0.0,0.9246008420663919,0,0.0,0.9610248346009471,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9618200533465727,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9647668273840113,0,0.0,0.9592893232543648,0,0.0,0.9098904314933617,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9623673583361989,0,0.0,1.0,0,0.0
15.0,2,2.0,0.05,11.107609686570816,1,1.0,0.7354725672244132,0,0.0,0.671569881140834,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9601280469092356,0,0.0,0.9154274953638822,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6753686156620495,0,0.0,0.7442078510445909,0,0.0,0.9480553280865122,0,0.0,0.8492451505369705,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9595943296927564,0,0.0,0.9165723988784918,2,2.0
20.0,8,34.0,0.6071428571428571,10.057711317535594,2,10.0,0.6338035421953836,2,8.0,0.6249913557227614,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9262089417755135,0,0.0,0.9626148358699957,0,0.0,1.0,0,0.0,1.0,2,9.0,0.5021137088873383,2,7.0,0.46737369666104484,0,0.0,0.942110865762698,0,0.0,0.9451151993491401,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9319945764506401,0,0.0,0.9648660751157331,8,34.0
25.0,0,0.0,0.0,9.242286556571527,0,2.0,0.7187734649175083,0,1.0,0.7009167740216202,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8254402268189821,0,0.0,0.7252776096540248,0,0.0,1.0,0,0.0,1.0,0,4.0,0.6468684260209768,0,2.0,0.6138072652810246,0,4.0,0.6535329527568431,0,2.0,0.5104487847160779,0,2.0,0.4499774607887659,0,2.0,0.5602795860930349,0,0.0,0.7410241124694972,0,0.0,0.7161662994226886,0,19.0
30.0,13,38.0,0.475,9.292856578406502,2,6.0,0.7171673346890458,2,5.0,0.6764217146768231,0,0.0,1.0,0,0.0,1.0,2,5.0,0.48445796821807074,2,5.0,0.11717484641677711,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8601473646657228,0,0.0,0.8774088008994967,1,8.0,0.736950118867055,0,4.0,0.810576424026531,0,4.0,0.7908560240183319,0,4.0,0.8565307909269086,2,7.0,0.49079903670462355,2,6.0,0.40104088869320176,13,54.0
35.0,6,22.0,0.22916666666666666,9.486461092398018,0,1.0,0.7020642728018994,1,5.0,0.5336332981238107,0,2.0,0.4437265003670608,0,0.0,1.0,0,3.0,0.6621258052783463,0,6.0,0.3114769856285656,0,4.0,0.4217423863300909,0,0.0,1.0,0,2.0,0.725705632860011,1,2.0,0.7536035257872635,4,23.0,0.6802510642986711,0,4.0,0.8985258974964837,0,4.0,0.9114317264008865,0,4.0,0.876966969193185,0,2.0,0.6328712762014095,0,4.0,0.32350894230577276,6,66.0
40.0,16,70.0,0.625,10.140538133013354,2,5.0,0.6785280774145235,3,12.0,0.7419679266460526,0,4.0,0.9770552148678654,0,0.0,0.9446598958775829,0,0.0,0.9553734359464049,0,4.0,0.9096054855432506,0,4.0,0.8731124685623711,0,0.0,1.0,2,9.0,0.7099431764849083,2,8.0,0.5354065266497506,6,42.0,0.4725860639224174,0,0.0,0.7335927677261739,1,6.0,0.5042086447166727,0,0.0,0.8228959659733659,0,0.0,0.9617778697812873,0,4.0,0.8954161921192302,16,98.0
45.0,13,98.0,0.8166666666666667,9.390780082898171,1,5.0,0.5681796905419597,0,8.0,0.7158382847853123,0,8.0,0.8112389302348647,0,0.0,0.9086349934969414,0,0.0,0.9462490525811216,0,4.0,0.939314036148504,0,2.0,0.9077715038075826,0,0.0,1.0,3,22.0,0.5530639933114546,0,2.0,0.6172296755419221,8,81.0,0.2507044814022895,0,4.0,0.4329642176994323,1,6.0,0.13284440913775028,0,4.0,0.7235306873682013,0,0.0,0.9396173260090281,0,4.0,0.9045468324251636,13,150.0
50.0,20,150.0,1.1029411764705883,8.908911844732168,3,12.0,0.6094380207255641,2,8.0,0.4932595949359725,1,8.0,0.6478865348041405,0,0.0,0.8798594501455668,0,0.0,0.8780356855801997,1,4.0,0.4819112344295064,0,0.0,0.9317040656311455,0,0.0,0.9614020047622087,0,10.0,0.46482987078582283,0,0.0,0.9544485844867706,9,123.0,0.4250902756132087,0,4.0,0.8440683149319327,2,11.0,0.23765256745349764,0,4.0,0.9182399390419748,0,0.0,0.7778375053608091,2,7.0,0.571917139350796,20,191.0
