step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.879667469358537,0,0.0,0.8364456403739973,0,0.0
20.0,0,0.0,0.0,13.96971899315691,0,0.0,0.9833531507360658,0,0.0
25.0,0,0.0,0.0,13.8422648844819,0,0.0,0.9742069346705245,0,0.0
30.0,0,0.0,0.0,13.287474885337517,0,0.0,0.9550459329626294,0,0.0
35.0,0,0.0,0.0,13.17227916377724,0,0.0,0.9722452991604558,0,0.0
40.0,0,0.0,0.0,13.169552086717221,0,0.0,0.9581034128276411,0,0.0
45.0,0,0.0,0.0,13.266585826133607,0,0.0,0.978926470112825,0,0.0
50.0,0,0.0,0.0,13.156422160136122,0,0.0,0.9706220187943084,0,0.0
55.0,0,0.0,0.0,12.860400257135215,0,0.0,0.9270675276354661,0,0.0
60.0,0,0.0,0.0,13.017334286014,0,0.0,0.9501992119099685,0,0.0
65.0,0,0.0,0.0,13.192828684325717,0,0.0,0.9578536108354649,0,0.0
70.0,2,3.0,0.25,11.169744368895765,2,3.0,0.8148926826640999,2,3.0
75.0,2,13.0,0.9285714285714286,11.36221503961916,2,13.0,0.8247127875542638,2,13.0
80.0,2,23.0,1.6428571428571428,11.47867789982509,2,23.0,0.8348625052340566,2,23.0
85.0,1,16.0,1.0,10.916850035425032,1,32.0,0.8007549349068885,1,32.0
90.0,2,24.0,1.5,10.197423999358485,2,24.0,0.7821779353453023,2,24.0
95.0,3,38.0,1.9,9.963853474258467,3,38.0,0.7355176779578203,3,38.0
100.0,4,57.0,2.375,10.532488257482472,4,57.0,0.7544118624843356,4,57.0
105.0,4,77.0,2.8518518518518516,10.728144720449698,4,77.0,0.7475627307303578,4,77.0
110.0,3,23.0,0.7931034482758621,10.599536739051977,3,103.0,0.7389492353195,3,103.0
115.0,4,42.0,1.4482758620689655,10.678188118128817,4,42.0,0.8123088268836572,4,42.0
120.0,6,64.0,2.1333333333333333,10.31059772770164,6,64.0,0.7434605307118278,6,64.0
125.0,6,94.0,2.764705882352941,10.482399615542642,6,94.0,0.716014442344095,6,94.0
130.0,5,107.0,3.057142857142857,10.848703117877399,5,127.0,0.7197941059390539,5,127.0
135.0,6,136.0,3.5789473684210527,11.165369783141134,6,136.0,0.7827563517460042,6,136.0
140.0,5,151.0,3.682926829268293,11.10627633959222,5,165.0,0.7707659545445007,5,165.0
145.0,7,179.0,4.162790697674419,10.930099278816806,7,179.0,0.7603316365260051,7,179.0
150.0,8,215.0,4.673913043478261,9.953225892268858,8,215.0,0.6727591376625333,8,215.0
155.0,11,257.0,5.468085106382978,9.25938953674634,11,268.0,0.6027207504219395,11,268.0
160.0,16,328.0,6.074074074074074,8.905581653520843,16,328.0,0.5817476138395242,16,328.0
165.0,10,207.0,3.6315789473684212,9.430165927160857,10,402.0,0.6333270179101284,10,402.0
170.0,4,63.0,1.05,10.133192558478688,4,141.0,0.7894968694129407,4,141.0
175.0,7,89.0,1.4126984126984128,10.056384661738425,7,167.0,0.7228426283505619,7,167.0
180.0,11,143.0,2.1343283582089554,10.595149836284147,11,221.0,0.732483848074143,11,221.0
185.0,12,201.0,2.8714285714285714,11.060831691605744,12,274.0,0.748685400935472,12,274.0
190.0,13,263.0,3.4155844155844157,10.653560542789668,13,336.0,0.7128521194759758,13,336.0
195.0,17,343.0,4.2875,10.244610943182732,17,416.0,0.6890775152970889,17,416.0
200.0,14,255.0,3.1481481481481484,10.283689390094661,14,502.0,0.7010584181252623,14,502.0
205.0,12,219.0,2.7037037037037037,10.130876539263234,12,302.0,0.7432059453131922,12,302.0
210.0,14,284.0,3.380952380952381,10.314948397508784,14,367.0,0.7257803928869951,14,367.0
215.0,19,366.0,4.021978021978022,9.614532028621174,19,449.0,0.6311869200540327,19,449.0
220.0,24,480.0,4.8979591836734695,9.932916694698475,24,563.0,0.6515180049223221,24,563.0
225.0,24,600.0,6.0606060606060606,9.67077007594604,24,683.0,0.6450779520274433,24,683.0
230.0,23,626.0,5.961904761904762,9.279400031154989,23,810.0,0.6178300046355815,23,810.0
235.0,16,653.0,6.219047619047619,9.043120964095808,16,737.0,0.6751221351043719,16,737.0
240.0,25,755.0,6.863636363636363,8.786821520092802,25,839.0,0.619046170592634,25,839.0
245.0,31,906.0,8.017699115044248,9.070437198918107,31,990.0,0.6044861662079845,31,990.0
250.0,30,648.0,5.4,9.033283933640819,30,1155.0,0.5757167682457859,30,1155.0
255.0,23,304.0,2.4918032786885247,9.183139737888848,23,471.0,0.6266830080763305,23,471.0
260.0,29,433.0,3.356589147286822,9.417898113816578,29,600.0,0.622359876505326,29,600.0
265.0,36,601.0,4.553030303030303,9.27090482645562,36,768.0,0.5898973807139503,36,768.0
270.0,33,733.0,5.638461538461539,8.940826485194009,33,956.0,0.5617038957460532,33,956.0
275.0,34,868.0,6.42962962962963,8.771098072399887,34,884.0,0.5848707397153278,34,884.0
280.0,38,1052.0,7.568345323741007,9.027486253462838,38,1063.0,0.594214807133253,38,1063.0
285.0,39,1127.0,7.614864864864865,8.991207474796642,39,1256.0,0.5584882213332187,39,1256.0
290.0,44,1204.0,7.818181818181818,8.721699604308386,44,1255.0,0.52833363588586,44,1255.0
